timestamp,memory_used_mib,utilization_gpu_pct,temperature_gpu_c,power_draw_w
2026/08/09 11:21:33.327, 14060, 0, 39, 4.80
2026/08/09 11:21:34.351, 14078, 99, 50, 131.29
2026/08/09 11:21:35.379, 14078, 99, 50, 196.92
2026/08/09 11:21:36.413, 14078, 99, 50, 186.50
2026/08/09 11:21:37.451, 14078, 100, 51, 196.80
2026/08/09 11:21:38.486, 14078, 99, 51, 186.69
2026/08/09 11:21:39.523, 14078, 99, 55, 201.73
2026/08/09 11:21:40.557, 14078, 99, 52, 188.49
2026/08/09 11:21:41.595, 14078, 99, 55, 195.78
2026/08/09 11:21:42.626, 14078, 99, 52, 197.69
2026/08/09 11:21:43.660, 14078, 99, 53, 190.01
2026/08/09 11:21:44.692, 14078, 99, 54, 204.94
2026/08/09 11:21:45.727, 14078, 99, 53, 188.38
2026/08/09 11:21:46.758, 14078, 99, 56, 196.67
2026/08/09 11:21:47.785, 14078, 99, 54, 192.38
2026/08/09 11:21:48.821, 14078, 99, 54, 188.49
2026/08/09 11:21:49.855, 14078, 99, 54, 188.61
2026/08/09 11:21:50.894, 14078, 99, 57, 196.87
2026/08/09 11:21:51.931, 14078, 99, 54, 189.26
2026/08/09 11:21:52.964, 14078, 99, 54, 189.03
2026/08/09 11:21:54.001, 14078, 100, 57, 195.60
2026/08/09 11:21:55.031, 14078, 99, 54, 197.73
2026/08/09 11:21:56.065, 14078, 99, 54, 189.57
2026/08/09 11:21:57.100, 14078, 99, 54, 189.65
2026/08/09 11:21:58.136, 14078, 99, 55, 202.26
2026/08/09 11:21:59.171, 14078, 99, 55, 189.90
2026/08/09 11:22:00.207, 14078, 99, 55, 189.85
2026/08/09 11:22:01.241, 14078, 95, 58, 201.64
2026/08/09 11:22:02.272, 14078, 99, 55, 193.27
2026/08/09 11:22:03.307, 14078, 99, 55, 189.90
2026/08/09 11:22:04.345, 14078, 99, 55, 189.71
2026/08/09 11:22:05.372, 14078, 100, 56, 198.49
2026/08/09 11:22:06.401, 14078, 99, 55, 196.24
2026/08/09 11:22:07.437, 14078, 99, 55, 189.77
2026/08/09 11:22:08.472, 14078, 99, 55, 189.92
2026/08/09 11:22:09.507, 14078, 99, 55, 190.03
2026/08/09 11:22:10.544, 14078, 99, 55, 189.74
2026/08/09 11:22:11.580, 14078, 98, 59, 197.92
2026/08/09 11:22:12.617, 14078, 99, 56, 189.98
2026/08/09 11:22:13.653, 14078, 99, 56, 189.95
2026/08/09 11:22:14.689, 14078, 99, 56, 190.08
2026/08/09 11:22:15.728, 14078, 99, 56, 189.91
2026/08/09 11:22:16.764, 14078, 99, 56, 192.64
2026/08/09 11:22:17.795, 14078, 99, 57, 205.55
2026/08/09 11:22:18.829, 14078, 100, 56, 190.30
2026/08/09 11:22:19.869, 14078, 99, 56, 190.23
2026/08/09 11:22:20.904, 14078, 99, 56, 190.28
2026/08/09 11:22:21.943, 14078, 99, 56, 190.30
2026/08/09 11:22:22.980, 14078, 99, 60, 201.86
2026/08/09 11:22:24.011, 14078, 100, 56, 197.22
2026/08/09 11:22:25.048, 14078, 99, 56, 190.25
2026/08/09 11:22:26.088, 14078, 99, 56, 190.29
2026/08/09 11:22:27.125, 14078, 99, 56, 190.16
2026/08/09 11:22:28.162, 14078, 99, 56, 190.32
2026/08/09 11:22:29.199, 14078, 99, 60, 206.60
2026/08/09 11:22:30.233, 14078, 99, 57, 190.51
2026/08/09 11:22:31.273, 14078, 99, 57, 190.26
2026/08/09 11:22:32.309, 14078, 99, 57, 190.36
