timestamp,memory_used_mib,utilization_gpu_pct,temperature_gpu_c,power_draw_w
2026/08/09 11:11:44.193, 14060, 0, 38, 4.77
2026/08/09 11:11:45.220, 14078, 98, 49, 132.65
2026/08/09 11:11:46.252, 14078, 99, 49, 192.87
2026/08/09 11:11:47.288, 14078, 99, 49, 188.34
2026/08/09 11:11:48.325, 14078, 100, 51, 187.87
2026/08/09 11:11:49.360, 14078, 99, 53, 191.58
2026/08/09 11:11:50.389, 14078, 99, 50, 191.52
2026/08/09 11:11:51.420, 14078, 99, 51, 195.28
2026/08/09 11:11:52.458, 14078, 99, 52, 195.24
2026/08/09 11:11:53.492, 14078, 99, 54, 195.40
2026/08/09 11:11:54.524, 14078, 99, 54, 192.91
2026/08/09 11:11:55.564, 14078, 99, 52, 187.73
2026/08/09 11:11:56.600, 14078, 99, 52, 187.67
2026/08/09 11:11:57.637, 14078, 75, 53, 190.18
2026/08/09 11:11:58.675, 14078, 100, 52, 188.06
2026/08/09 11:11:59.713, 14078, 99, 52, 188.16
2026/08/09 11:12:00.747, 14078, 99, 52, 192.55
2026/08/09 11:12:01.779, 14078, 99, 53, 192.48
2026/08/09 11:12:02.817, 14078, 99, 53, 188.34
2026/08/09 11:12:03.852, 14078, 99, 53, 188.24
2026/08/09 11:12:04.883, 14078, 99, 53, 194.98
2026/08/09 11:12:05.916, 14078, 99, 53, 188.57
2026/08/09 11:12:06.951, 14078, 99, 53, 188.63
2026/08/09 11:12:07.987, 14078, 99, 54, 195.24
2026/08/09 11:12:09.023, 14078, 99, 53, 188.73
2026/08/09 11:12:10.060, 14078, 99, 53, 188.53
2026/08/09 11:12:11.095, 14078, 99, 56, 198.47
2026/08/09 11:12:12.132, 14078, 99, 54, 186.17
2026/08/09 11:12:13.169, 14078, 99, 54, 188.82
2026/08/09 11:12:14.209, 14078, 99, 54, 188.82
2026/08/09 11:12:15.247, 14078, 99, 54, 188.46
2026/08/09 11:12:16.281, 14078, 99, 54, 188.30
2026/08/09 11:12:17.320, 14078, 99, 54, 180.26
2026/08/09 11:12:18.355, 14078, 99, 54, 188.62
2026/08/09 11:12:19.390, 14078, 99, 54, 188.99
2026/08/09 11:12:20.425, 14078, 99, 54, 188.85
2026/08/09 11:12:21.462, 14078, 99, 54, 188.98
2026/08/09 11:12:22.496, 14078, 99, 58, 196.54
2026/08/09 11:12:23.531, 14078, 99, 55, 189.39
2026/08/09 11:12:24.569, 14078, 99, 55, 189.32
2026/08/09 11:12:25.603, 14078, 99, 55, 189.08
2026/08/09 11:12:26.638, 14078, 99, 55, 189.16
2026/08/09 11:12:27.675, 14078, 99, 55, 195.03
2026/08/09 11:12:28.704, 14078, 99, 55, 193.44
2026/08/09 11:12:29.742, 14078, 99, 55, 189.53
2026/08/09 11:12:30.778, 14078, 99, 55, 189.32
2026/08/09 11:12:31.813, 14078, 99, 55, 189.10
2026/08/09 11:12:32.851, 14078, 95, 57, 191.60
2026/08/09 11:12:33.881, 14078, 99, 55, 196.86
2026/08/09 11:12:34.917, 14078, 99, 55, 189.26
2026/08/09 11:12:35.952, 14078, 99, 55, 189.03
2026/08/09 11:12:36.985, 14078, 99, 56, 189.31
2026/08/09 11:12:38.026, 14078, 99, 56, 189.19
2026/08/09 11:12:39.053, 14080, 99, 56, 196.79
2026/08/09 11:12:40.082, 14080, 99, 56, 188.39
2026/08/09 11:12:41.108, 14080, 99, 56, 189.24
2026/08/09 11:12:42.140, 14080, 99, 56, 194.69
2026/08/09 11:12:43.178, 14080, 99, 56, 194.74
2026/08/09 11:12:44.214, 14080, 99, 57, 194.37
2026/08/09 11:12:45.244, 14080, 99, 60, 199.34
2026/08/09 11:12:46.273, 14080, 100, 57, 193.38
2026/08/09 11:12:47.309, 14080, 99, 56, 189.26
2026/08/09 11:12:48.344, 14080, 99, 56, 189.36
2026/08/09 11:12:49.380, 14080, 99, 56, 189.29
2026/08/09 11:12:50.417, 14080, 100, 57, 192.03
2026/08/09 11:12:51.447, 14080, 99, 57, 190.07
2026/08/09 11:12:52.483, 14080, 100, 57, 189.66
2026/08/09 11:12:53.519, 14080, 99, 57, 190.01
2026/08/09 11:12:54.556, 14080, 99, 57, 189.84
2026/08/09 11:12:55.592, 14080, 100, 57, 197.17
2026/08/09 11:12:56.626, 14080, 99, 57, 190.12
2026/08/09 11:12:57.666, 14080, 99, 57, 190.06
2026/08/09 11:12:58.703, 14080, 99, 57, 190.02
2026/08/09 11:12:59.740, 14080, 99, 60, 197.60
2026/08/09 11:13:00.776, 14080, 99, 57, 189.88
2026/08/09 11:13:01.813, 14080, 99, 57, 189.79
2026/08/09 11:13:02.849, 14080, 99, 57, 189.90
2026/08/09 11:13:03.886, 14080, 100, 58, 197.33
2026/08/09 11:13:04.925, 14080, 99, 57, 190.05
2026/08/09 11:13:05.961, 14080, 99, 57, 190.10
2026/08/09 11:13:06.998, 14080, 99, 57, 190.06
2026/08/09 11:13:08.030, 14080, 99, 60, 199.48
2026/08/09 11:13:09.065, 14080, 99, 58, 197.08
2026/08/09 11:13:10.100, 14080, 99, 57, 190.13
2026/08/09 11:13:11.140, 14080, 99, 57, 190.21
2026/08/09 11:13:12.180, 14080, 99, 57, 189.80
2026/08/09 11:13:13.222, 14080, 99, 58, 189.89
2026/08/09 11:13:14.259, 14080, 99, 58, 190.01
2026/08/09 11:13:15.291, 14080, 99, 58, 189.79
2026/08/09 11:13:16.315, 14080, 43, 58, 192.78
2026/08/09 11:13:17.346, 14080, 99, 58, 192.60
2026/08/09 11:13:18.389, 14080, 99, 58, 190.18
2026/08/09 11:13:19.425, 14080, 99, 58, 189.86
2026/08/09 11:13:20.468, 14080, 99, 58, 189.99
2026/08/09 11:13:21.507, 14080, 99, 58, 190.23
2026/08/09 11:13:22.549, 14080, 99, 58, 190.08
2026/08/09 11:13:23.597, 14080, 99, 59, 198.87
2026/08/09 11:13:24.640, 14080, 100, 58, 192.61
2026/08/09 11:13:25.676, 14080, 99, 58, 190.35
2026/08/09 11:13:26.711, 14080, 99, 58, 190.32
2026/08/09 11:13:27.747, 14080, 99, 58, 190.33
2026/08/09 11:13:28.783, 14080, 99, 58, 190.16
2026/08/09 11:13:29.819, 14080, 99, 58, 190.12
2026/08/09 11:13:30.856, 14080, 100, 59, 198.78
2026/08/09 11:13:31.894, 14080, 99, 58, 190.60
