timestamp_utc,elapsed_seconds,plugin_pending,plugin_decode_seconds,prom_pending,prom_decode_seconds,deployment_desired,deployment_current,deployment_ready,deployment_available,pod_count,pod_phases,hpa_current,hpa_desired,scaledobject_ready,scaledobject_active,registered_worker_count
2026-08-26T18:47:44.379681+00:00,12.75,3.0,15.0,3.0,15.0,3,3,1,1,3,Running:3,1,3,True,True,0
2026-08-26T18:47:44.650249+00:00,13.021,3.0,15.0,3.0,15.0,3,3,1,1,3,Running:3,1,3,True,True,0
2026-08-26T18:47:44.921354+00:00,13.292,3.0,15.0,3.0,15.0,3,3,1,1,3,Running:3,1,3,True,True,0
2026-08-26T18:47:45.193213+00:00,13.563,3.0,15.0,3.0,15.0,3,3,1,1,3,Running:3,1,3,True,True,0
2026-08-26T18:47:45.464780+00:00,13.835,3.0,15.0,3.0,15.0,3,3,1,1,3,Running:3,1,3,True,True,0
2026-08-26T18:47:45.738244+00:00,14.106,3.0,15.0,3.0,15.0,3,3,1,1,3,Running:3,1,3,True,True,0
2026-08-26T18:47:46.013412+00:00,14.38,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:46.284264+00:00,14.655,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:46.555932+00:00,14.926,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:46.828130+00:00,15.198,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:47.097812+00:00,15.47,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:47.380588+00:00,15.739,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:47.652037+00:00,16.022,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:47.922084+00:00,16.294,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:48.193598+00:00,16.564,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:48.464869+00:00,16.835,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:48.738040+00:00,17.107,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:49.009020+00:00,17.38,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:49.283033+00:00,17.651,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:49.558539+00:00,17.925,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:49.830103+00:00,18.2,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:50.101492+00:00,18.472,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:50.373642+00:00,18.743,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:50.643903+00:00,19.015,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:50.916156+00:00,19.286,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:51.187162+00:00,19.558,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:51.456647+00:00,19.829,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:51.727302+00:00,20.098,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:51.999629+00:00,20.369,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:52.271148+00:00,20.641,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:52.544153+00:00,20.913,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:52.815127+00:00,21.186,3.0,15.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,0
2026-08-26T18:47:53.086060+00:00,21.457,0.0,0.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,1
2026-08-26T18:47:53.357842+00:00,21.728,0.0,0.0,3.0,15.0,3,3,3,3,3,Running:3,1,3,True,True,1
