LAST SEEN   TYPE      REASON                         OBJECT                                              MESSAGE
15m         Normal    ScalingReplicaSet              deployment/statepool-worker                         Scaled up replica set statepool-worker-8488d58869 from 1 to 3
15m         Normal    SuccessfulCreate               replicaset/statepool-worker-8488d58869              Created pod: statepool-worker-8488d58869-d5jvg
15m         Normal    SuccessfulRescale              horizontalpodautoscaler/keda-hpa-statepool-worker   New size: 3; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: statepool-worker,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
15m         Warning   FailedScheduling               pod/statepool-worker-8488d58869-d5jvg               0/1 nodes are available: 1 Insufficient nvidia.com/gpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
15m         Warning   FailedScheduling               pod/statepool-worker-8488d58869-njc2j               0/1 nodes are available: 1 Insufficient nvidia.com/gpu. no new claims to deallocate, preemption: 0/1 nodes are available: 1 Preemption is not helpful for scheduling.
15m         Normal    SuccessfulCreate               replicaset/statepool-worker-8488d58869              Created pod: statepool-worker-8488d58869-njc2j
11m         Normal    SuccessfulDelete               replicaset/statepool-worker-8488d58869              Deleted pod: statepool-worker-8488d58869-r8jv4
11m         Normal    SuccessfulDelete               replicaset/statepool-worker-8488d58869              Deleted pod: statepool-worker-8488d58869-njc2j
11m         Normal    ScalingReplicaSet              deployment/statepool-worker                         Scaled down replica set statepool-worker-8488d58869 from 3 to 0
11m         Normal    SuccessfulDelete               replicaset/statepool-worker-8488d58869              Deleted pod: statepool-worker-8488d58869-d5jvg
11m         Normal    Scheduled                      pod/statepool-worker-58585d67f7-gs4rg               Successfully assigned statepool-keda/statepool-worker-58585d67f7-gs4rg to statepool-keda-control-plane
11m         Normal    Killing                        pod/statepool-85fccdb4fb-69fwl                      Stopping container statepool-plugin
11m         Normal    ScalingReplicaSet              deployment/statepool                                Scaled down replica set statepool-85fccdb4fb from 1 to 0
11m         Normal    SuccessfulCreate               replicaset/statepool-worker-58585d67f7              Created pod: statepool-worker-58585d67f7-gs4rg
