timestamp,memory_used_mib,utilization_gpu_pct,temperature_gpu_c,power_draw_w
2026/08/09 10:23:21.503, 14060, 0, 34, 4.75
2026/08/09 10:23:22.528, 14078, 99, 44, 112.27
2026/08/09 10:23:23.567, 14078, 100, 45, 190.60
2026/08/09 10:23:24.605, 14078, 100, 46, 192.60
2026/08/09 10:23:25.631, 14078, 95, 46, 191.28
2026/08/09 10:23:26.662, 14078, 100, 46, 190.19
2026/08/09 10:23:27.691, 14078, 99, 46, 190.75
2026/08/09 10:23:28.726, 14078, 99, 47, 185.19
2026/08/09 10:23:29.761, 14078, 99, 47, 185.61
2026/08/09 10:23:30.800, 14078, 99, 47, 185.69
2026/08/09 10:23:31.835, 14078, 99, 47, 185.08
2026/08/09 10:23:32.872, 14078, 99, 48, 185.76
2026/08/09 10:23:33.909, 14078, 99, 48, 186.09
2026/08/09 10:23:34.946, 14078, 99, 48, 186.50
2026/08/09 10:23:35.980, 14078, 99, 48, 186.29
2026/08/09 10:23:37.016, 14078, 99, 48, 186.24
2026/08/09 10:23:38.052, 14078, 99, 49, 186.46
2026/08/09 10:23:39.091, 14078, 99, 49, 187.08
2026/08/09 10:23:40.131, 14078, 99, 49, 186.73
2026/08/09 10:23:41.168, 14078, 99, 49, 186.94
2026/08/09 10:23:42.206, 14078, 99, 49, 186.96
2026/08/09 10:23:43.241, 14078, 99, 49, 186.94
2026/08/09 10:23:44.275, 14080, 95, 52, 195.18
2026/08/09 10:23:45.310, 14080, 99, 50, 187.50
2026/08/09 10:23:46.346, 14080, 99, 50, 187.42
2026/08/09 10:23:47.381, 14080, 99, 50, 187.52
2026/08/09 10:23:48.416, 14080, 99, 50, 187.54
2026/08/09 10:23:49.449, 14080, 99, 50, 187.33
2026/08/09 10:23:50.485, 14080, 99, 50, 187.50
2026/08/09 10:23:51.521, 14080, 99, 50, 187.73
2026/08/09 10:23:52.558, 14080, 99, 50, 187.65
2026/08/09 10:23:53.593, 14080, 99, 50, 187.84
2026/08/09 10:23:54.630, 14080, 99, 50, 187.69
2026/08/09 10:23:55.667, 14080, 99, 50, 187.70
2026/08/09 10:23:56.702, 14080, 99, 51, 187.87
2026/08/09 10:23:57.738, 14080, 99, 51, 187.60
2026/08/09 10:23:58.773, 14080, 99, 51, 187.51
2026/08/09 10:23:59.810, 14080, 99, 51, 187.73
2026/08/09 10:24:00.845, 14080, 99, 51, 187.57
2026/08/09 10:24:01.883, 14080, 99, 51, 195.65
2026/08/09 10:24:02.923, 14080, 99, 51, 188.37
2026/08/09 10:24:03.958, 14080, 99, 51, 188.12
2026/08/09 10:24:04.991, 14080, 99, 51, 188.18
2026/08/09 10:24:06.029, 14080, 99, 51, 188.05
2026/08/09 10:24:07.066, 14080, 99, 52, 187.99
2026/08/09 10:24:08.103, 14080, 99, 52, 188.35
2026/08/09 10:24:09.137, 14080, 99, 52, 188.33
2026/08/09 10:24:10.172, 14080, 99, 52, 188.20
2026/08/09 10:24:11.207, 14080, 99, 52, 188.14
2026/08/09 10:24:12.242, 14080, 99, 52, 188.47
2026/08/09 10:24:13.275, 14080, 99, 52, 188.60
2026/08/09 10:24:14.312, 14080, 99, 52, 187.95
2026/08/09 10:24:15.351, 14080, 99, 52, 187.82
2026/08/09 10:24:16.387, 14080, 99, 52, 187.77
2026/08/09 10:24:17.425, 14080, 99, 52, 188.03
2026/08/09 10:24:18.463, 14080, 91, 53, 191.50
2026/08/09 10:24:19.491, 14080, 99, 53, 198.70
2026/08/09 10:24:20.522, 14080, 99, 55, 199.17
2026/08/09 10:24:21.560, 14082, 99, 53, 189.76
2026/08/09 10:24:22.597, 14082, 99, 53, 189.87
2026/08/09 10:24:23.634, 14082, 100, 53, 195.33
2026/08/09 10:24:24.671, 14082, 96, 53, 195.50
2026/08/09 10:24:25.708, 14082, 99, 53, 190.31
2026/08/09 10:24:26.743, 14082, 98, 57, 199.52
2026/08/09 10:24:27.778, 14082, 100, 53, 192.82
2026/08/09 10:24:28.808, 14082, 100, 54, 192.82
2026/08/09 10:24:29.845, 14082, 99, 53, 188.98
2026/08/09 10:24:30.880, 14082, 99, 53, 188.72
2026/08/09 10:24:31.915, 14082, 99, 53, 189.23
2026/08/09 10:24:32.951, 14082, 99, 54, 189.17
2026/08/09 10:24:33.988, 14082, 99, 57, 195.58
2026/08/09 10:24:35.027, 14082, 99, 54, 188.89
2026/08/09 10:24:36.065, 14082, 99, 54, 188.75
2026/08/09 10:24:37.104, 14082, 99, 54, 189.07
2026/08/09 10:24:38.140, 14082, 99, 54, 188.74
2026/08/09 10:24:39.175, 14082, 99, 54, 188.78
2026/08/09 10:24:40.211, 14082, 100, 54, 195.81
2026/08/09 10:24:41.247, 14082, 99, 54, 188.85
2026/08/09 10:24:42.284, 14082, 99, 54, 189.09
2026/08/09 10:24:43.323, 14082, 99, 54, 188.79
2026/08/09 10:24:44.360, 14082, 99, 54, 188.85
2026/08/09 10:24:45.395, 14082, 99, 54, 188.71
2026/08/09 10:24:46.430, 14082, 99, 54, 188.96
2026/08/09 10:24:47.466, 14082, 99, 54, 188.91
2026/08/09 10:24:48.503, 14082, 99, 54, 188.59
2026/08/09 10:24:49.538, 14082, 99, 54, 188.46
2026/08/09 10:24:50.576, 14082, 99, 55, 188.63
2026/08/09 10:24:51.611, 14082, 99, 55, 188.77
2026/08/09 10:24:52.649, 14082, 99, 55, 188.75
2026/08/09 10:24:53.687, 14082, 99, 55, 188.65
2026/08/09 10:24:54.722, 14082, 99, 55, 188.86
2026/08/09 10:24:55.758, 14082, 99, 55, 188.68
2026/08/09 10:24:56.791, 14082, 99, 55, 193.92
2026/08/09 10:24:57.821, 14084, 99, 57, 196.38
2026/08/09 10:24:58.860, 14084, 100, 55, 193.82
2026/08/09 10:24:59.895, 14084, 99, 55, 189.64
2026/08/09 10:25:00.931, 14084, 99, 55, 189.41
2026/08/09 10:25:01.967, 14084, 99, 55, 189.16
2026/08/09 10:25:03.001, 14084, 99, 55, 189.47
2026/08/09 10:25:04.037, 14084, 99, 55, 189.63
2026/08/09 10:25:05.061, 14086, 97, 56, 198.21
2026/08/09 10:25:06.104, 14086, 99, 56, 186.50
2026/08/09 10:25:07.146, 14086, 99, 56, 195.28
2026/08/09 10:25:08.189, 14086, 99, 59, 197.01
2026/08/09 10:25:09.224, 14086, 99, 56, 189.75
2026/08/09 10:25:10.259, 14086, 99, 56, 189.64
2026/08/09 10:25:11.293, 14086, 99, 56, 189.40
2026/08/09 10:25:12.329, 14086, 99, 56, 189.40
2026/08/09 10:25:13.368, 14086, 99, 56, 189.54
2026/08/09 10:25:14.404, 14086, 99, 56, 189.60
2026/08/09 10:25:15.439, 14086, 99, 56, 189.69
2026/08/09 10:25:16.474, 14086, 99, 56, 189.51
2026/08/09 10:25:17.511, 14086, 99, 56, 189.72
2026/08/09 10:25:18.547, 14086, 99, 56, 189.73
2026/08/09 10:25:19.583, 14086, 99, 56, 189.54
2026/08/09 10:25:20.616, 14086, 99, 56, 189.22
2026/08/09 10:25:21.649, 14086, 99, 56, 189.18
2026/08/09 10:25:22.683, 14086, 99, 56, 189.24
2026/08/09 10:25:23.717, 14086, 99, 56, 189.37
