timestamp,memory_used_mib,utilization_gpu_percent,temperature_c,power_w
2026/08/08 12:36:43.177, 9198, 49, 46, 77.40
2026/08/08 12:36:44.197, 9198, 47, 46, 77.56
2026/08/08 12:36:45.219, 9198, 53, 47, 89.20
2026/08/08 12:36:46.244, 9198, 68, 48, 119.73
2026/08/08 12:36:47.266, 9198, 67, 48, 119.62
2026/08/08 12:36:48.292, 9198, 67, 48, 119.35
2026/08/08 12:36:49.314, 9198, 68, 48, 119.27
2026/08/08 12:36:50.337, 9198, 68, 48, 120.15
2026/08/08 12:36:51.362, 9198, 69, 48, 121.08
2026/08/08 12:36:52.387, 9198, 68, 49, 120.61
2026/08/08 12:36:53.410, 9198, 68, 49, 120.44
2026/08/08 12:36:54.435, 9198, 68, 49, 120.19
2026/08/08 12:36:55.460, 9198, 68, 49, 120.23
2026/08/08 12:36:56.485, 9198, 67, 49, 119.65
2026/08/08 12:36:57.510, 9198, 67, 49, 119.31
2026/08/08 12:36:58.534, 9198, 47, 47, 112.01
2026/08/08 12:36:59.557, 9198, 47, 46, 77.56
2026/08/08 12:37:00.580, 9198, 47, 46, 77.47
2026/08/08 12:37:01.603, 9198, 47, 46, 77.89
2026/08/08 12:37:02.625, 9198, 68, 48, 114.07
2026/08/08 12:37:03.649, 9198, 69, 49, 119.81
2026/08/08 12:37:04.671, 9198, 67, 49, 119.56
2026/08/08 12:37:05.694, 9198, 67, 49, 119.53
2026/08/08 12:37:06.720, 9198, 68, 49, 120.00
2026/08/08 12:37:07.745, 9198, 68, 49, 120.12
2026/08/08 12:37:08.771, 9198, 68, 49, 120.53
2026/08/08 12:37:09.799, 9198, 69, 49, 120.50
2026/08/08 12:37:10.827, 9198, 68, 49, 120.35
2026/08/08 12:37:11.852, 9198, 68, 49, 120.75
2026/08/08 12:37:12.876, 9198, 67, 49, 120.42
2026/08/08 12:37:13.900, 9198, 69, 49, 120.29
2026/08/08 12:37:14.922, 9198, 68, 49, 120.10
2026/08/08 12:37:15.946, 9198, 47, 46, 85.64
2026/08/08 12:37:16.967, 9198, 47, 46, 77.57
2026/08/08 12:37:17.989, 9198, 48, 46, 77.67
2026/08/08 12:37:19.009, 9198, 67, 48, 103.29
2026/08/08 12:37:20.032, 9198, 68, 49, 119.32
2026/08/08 12:37:21.054, 9198, 68, 49, 118.94
2026/08/08 12:37:22.078, 9198, 67, 49, 118.82
2026/08/08 12:37:23.102, 9198, 67, 49, 119.15
2026/08/08 12:37:24.126, 9198, 68, 49, 119.21
2026/08/08 12:37:25.149, 9198, 67, 49, 119.06
2026/08/08 12:37:26.171, 9198, 67, 49, 118.88
2026/08/08 12:37:27.195, 9198, 67, 49, 118.16
2026/08/08 12:37:28.218, 9198, 67, 49, 118.56
2026/08/08 12:37:29.240, 9198, 68, 49, 119.38
2026/08/08 12:37:30.264, 9198, 67, 49, 119.03
2026/08/08 12:37:31.286, 9198, 67, 49, 118.60
2026/08/08 12:37:32.309, 9198, 48, 48, 102.79
