timestamp,memory_used_mib,utilization_gpu_percent,temperature_c,power_w
2026/08/08 18:58:12.139, 14066, 0, 34, 4.76
2026/08/08 18:58:13.164, 14084, 97, 44, 145.95
2026/08/08 18:58:14.202, 14084, 99, 45, 186.69
2026/08/08 18:58:15.238, 14084, 99, 46, 184.31
2026/08/08 18:58:16.274, 14084, 99, 46, 184.64
2026/08/08 18:58:17.312, 14084, 99, 46, 184.57
2026/08/08 18:58:18.345, 14084, 99, 47, 185.36
2026/08/08 18:58:19.382, 14084, 99, 47, 185.10
2026/08/08 18:58:20.416, 14084, 99, 47, 185.12
2026/08/08 18:58:21.452, 14084, 61, 50, 185.19
2026/08/08 18:58:22.488, 14084, 100, 48, 191.78
2026/08/08 18:58:23.522, 14084, 99, 48, 186.51
2026/08/08 18:58:24.557, 14084, 99, 49, 185.95
2026/08/08 18:58:25.586, 14084, 100, 49, 192.96
2026/08/08 18:58:26.623, 14084, 99, 49, 186.70
2026/08/08 18:58:27.654, 14084, 99, 49, 192.79
2026/08/08 18:58:28.692, 14084, 99, 49, 188.23
2026/08/08 18:58:29.728, 14084, 99, 52, 187.26
2026/08/08 18:58:30.765, 14084, 100, 50, 193.89
2026/08/08 18:58:31.801, 14084, 99, 50, 186.75
2026/08/08 18:58:32.837, 14084, 99, 50, 185.61
2026/08/08 18:58:33.876, 14084, 99, 50, 193.34
2026/08/08 18:58:34.911, 14084, 99, 50, 187.05
2026/08/08 18:58:35.947, 14086, 99, 50, 187.60
2026/08/08 18:58:36.982, 14086, 99, 50, 186.94
2026/08/08 18:58:38.015, 14086, 99, 50, 189.67
2026/08/08 18:58:39.046, 14086, 96, 50, 198.73
2026/08/08 18:58:40.084, 14086, 95, 51, 195.17
2026/08/08 18:58:41.120, 14086, 100, 51, 193.02
2026/08/08 18:58:42.153, 14086, 99, 51, 188.02
2026/08/08 18:58:43.192, 14086, 99, 51, 187.84
2026/08/08 18:58:44.229, 14086, 99, 51, 187.86
2026/08/08 18:58:45.266, 14086, 99, 51, 187.75
2026/08/08 18:58:46.300, 14086, 99, 51, 187.64
2026/08/08 18:58:47.337, 14086, 99, 51, 188.64
2026/08/08 18:58:48.375, 14086, 99, 51, 187.74
2026/08/08 18:58:49.410, 14086, 99, 51, 187.83
2026/08/08 18:58:50.448, 14086, 99, 51, 187.90
2026/08/08 18:58:51.485, 14086, 99, 51, 187.90
2026/08/08 18:58:52.519, 14086, 99, 52, 187.78
2026/08/08 18:58:53.554, 14086, 99, 51, 188.93
2026/08/08 18:58:54.593, 14086, 99, 52, 188.06
2026/08/08 18:58:55.632, 14086, 99, 52, 187.86
2026/08/08 18:58:56.668, 14086, 99, 52, 188.05
2026/08/08 18:58:57.705, 14086, 99, 52, 188.16
2026/08/08 18:58:58.743, 14086, 99, 52, 187.98
2026/08/08 18:58:59.778, 14086, 99, 55, 191.20
2026/08/08 18:59:00.806, 14088, 96, 53, 198.88
2026/08/08 18:59:01.835, 14088, 99, 53, 196.93
2026/08/08 18:59:02.871, 14088, 99, 53, 188.36
2026/08/08 18:59:03.909, 14088, 99, 53, 188.26
2026/08/08 18:59:04.943, 14088, 99, 53, 188.30
2026/08/08 18:59:05.979, 14088, 99, 53, 188.21
2026/08/08 18:59:07.013, 14088, 99, 53, 188.32
2026/08/08 18:59:08.050, 14088, 96, 52, 182.33
2026/08/08 18:59:09.084, 14088, 100, 53, 192.05
2026/08/08 18:59:10.120, 14088, 99, 53, 188.69
2026/08/08 18:59:11.156, 14088, 99, 53, 188.60
2026/08/08 18:59:12.195, 14088, 99, 53, 188.69
2026/08/08 18:59:13.231, 14088, 99, 53, 188.39
2026/08/08 18:59:14.268, 14088, 99, 53, 188.35
2026/08/08 18:59:15.307, 14088, 99, 53, 188.60
2026/08/08 18:59:16.342, 14088, 99, 53, 188.65
2026/08/08 18:59:17.379, 14088, 99, 53, 188.53
2026/08/08 18:59:18.418, 14088, 99, 54, 188.68
2026/08/08 18:59:19.458, 14088, 99, 54, 188.52
2026/08/08 18:59:20.494, 14088, 99, 54, 188.57
2026/08/08 18:59:21.534, 14088, 99, 54, 188.51
2026/08/08 18:59:22.576, 14088, 99, 54, 188.36
2026/08/08 18:59:23.618, 14088, 99, 54, 188.26
2026/08/08 18:59:24.659, 14088, 99, 54, 188.16
2026/08/08 18:59:25.708, 14088, 56, 50, 176.42
2026/08/08 18:59:26.751, 14088, 99, 54, 188.96
2026/08/08 18:59:27.787, 14088, 99, 54, 188.98
2026/08/08 18:59:28.823, 14088, 99, 54, 189.10
