timestamp,memory_used_mib,utilization_gpu_percent
2026/08/08 08:15:13.831, 8960, 0
2026/08/08 08:15:14.868, 8960, 0
2026/08/08 08:15:15.899, 8960, 0
2026/08/08 08:15:16.928, 8960, 0
2026/08/08 08:15:17.961, 8960, 0
2026/08/08 08:15:18.990, 8960, 0
2026/08/08 08:15:20.022, 8960, 0
2026/08/08 08:15:21.058, 8960, 0
2026/08/08 08:15:22.086, 8960, 0
2026/08/08 08:15:23.126, 8960, 0
2026/08/08 08:15:24.154, 8960, 0
2026/08/08 08:15:25.191, 8960, 0
2026/08/08 08:15:26.224, 8960, 0
2026/08/08 08:15:27.258, 8960, 0
2026/08/08 08:15:28.292, 8960, 0
2026/08/08 08:15:29.321, 8960, 0
2026/08/08 08:15:30.363, 8960, 0
2026/08/08 08:15:31.384, 8970, 50
2026/08/08 08:15:32.403, 8970, 50
2026/08/08 08:15:33.423, 8970, 50
2026/08/08 08:15:34.440, 9026, 50
2026/08/08 08:15:35.462, 9082, 50
2026/08/08 08:15:36.482, 9082, 71
2026/08/08 08:15:37.502, 9082, 70
2026/08/08 08:15:38.522, 9082, 63
2026/08/08 08:15:39.543, 9082, 71
2026/08/08 08:15:40.562, 9082, 50
2026/08/08 08:15:41.583, 9082, 50
2026/08/08 08:15:42.600, 9082, 50
2026/08/08 08:15:43.621, 9082, 53
2026/08/08 08:15:44.638, 9082, 50
2026/08/08 08:15:45.658, 9082, 71
2026/08/08 08:15:46.677, 9082, 50
2026/08/08 08:15:47.698, 9082, 61
2026/08/08 08:15:48.718, 9082, 50
2026/08/08 08:15:49.738, 9082, 50
2026/08/08 08:15:50.757, 9082, 51
2026/08/08 08:15:51.779, 9082, 70
2026/08/08 08:15:52.797, 9082, 50
2026/08/08 08:15:53.818, 9082, 70
2026/08/08 08:15:54.837, 9082, 49
2026/08/08 08:15:55.858, 9082, 54
2026/08/08 08:15:56.878, 9082, 70
2026/08/08 08:15:57.897, 9082, 50
2026/08/08 08:15:58.919, 9082, 70
2026/08/08 08:15:59.937, 9082, 50
2026/08/08 08:16:00.956, 9082, 70
2026/08/08 08:16:01.977, 9082, 50
2026/08/08 08:16:02.996, 9082, 68
2026/08/08 08:16:04.015, 9082, 48
2026/08/08 08:16:05.036, 9082, 50
2026/08/08 08:16:06.056, 9082, 71
2026/08/08 08:16:07.077, 9082, 50
2026/08/08 08:16:08.096, 9082, 70
2026/08/08 08:16:09.119, 9082, 50
2026/08/08 08:16:10.140, 9082, 52
2026/08/08 08:16:11.161, 9082, 70
2026/08/08 08:16:12.180, 9082, 50
2026/08/08 08:16:13.200, 9082, 70
2026/08/08 08:16:14.219, 9082, 50
2026/08/08 08:16:15.240, 9082, 55
2026/08/08 08:16:16.261, 9082, 71
2026/08/08 08:16:17.280, 9082, 50
2026/08/08 08:16:18.300, 9082, 71
2026/08/08 08:16:19.322, 9082, 49
2026/08/08 08:16:20.344, 9082, 55
2026/08/08 08:16:21.367, 9082, 71
2026/08/08 08:16:22.386, 9082, 50
2026/08/08 08:16:23.407, 9082, 71
2026/08/08 08:16:24.425, 9082, 50
2026/08/08 08:16:25.446, 9082, 64
2026/08/08 08:16:26.465, 9082, 50
2026/08/08 08:16:27.486, 9082, 70
2026/08/08 08:16:28.507, 9082, 50
2026/08/08 08:16:29.525, 9082, 70
2026/08/08 08:16:30.545, 9082, 70
2026/08/08 08:16:31.567, 9082, 70
2026/08/08 08:16:32.586, 9082, 71
2026/08/08 08:16:33.608, 9082, 70
2026/08/08 08:16:34.630, 9082, 70
2026/08/08 08:16:35.649, 9082, 50
2026/08/08 08:16:36.671, 9082, 71
2026/08/08 08:16:37.690, 9082, 50
2026/08/08 08:16:38.708, 9082, 50
2026/08/08 08:16:39.726, 9082, 50
2026/08/08 08:16:40.746, 9082, 50
2026/08/08 08:16:41.764, 9082, 70
2026/08/08 08:16:42.785, 9082, 70
2026/08/08 08:16:43.805, 9082, 70
2026/08/08 08:16:44.826, 9082, 70
2026/08/08 08:16:45.847, 9082, 70
2026/08/08 08:16:46.867, 9082, 70
2026/08/08 08:16:47.886, 9082, 71
2026/08/08 08:16:48.906, 9082, 71
2026/08/08 08:16:49.927, 9082, 70
2026/08/08 08:16:50.947, 9082, 70
2026/08/08 08:16:51.966, 9082, 70
2026/08/08 08:16:52.988, 9082, 70
2026/08/08 08:16:54.010, 9082, 70
2026/08/08 08:16:55.029, 9082, 70
2026/08/08 08:16:56.049, 9082, 70
2026/08/08 08:16:57.069, 9082, 70
2026/08/08 08:16:58.089, 9082, 70
2026/08/08 08:16:59.109, 9082, 70
2026/08/08 08:17:00.131, 9082, 70
2026/08/08 08:17:01.149, 9082, 70
2026/08/08 08:17:02.169, 9082, 50
2026/08/08 08:17:03.189, 9082, 49
2026/08/08 08:17:04.209, 9082, 49
2026/08/08 08:17:05.228, 9082, 50
2026/08/08 08:17:06.247, 9082, 70
2026/08/08 08:17:07.269, 9082, 71
2026/08/08 08:17:08.288, 9082, 71
2026/08/08 08:17:09.308, 9082, 70
2026/08/08 08:17:10.328, 9082, 70
2026/08/08 08:17:11.348, 9082, 70
2026/08/08 08:17:12.367, 9082, 49
2026/08/08 08:17:13.386, 9082, 71
2026/08/08 08:17:14.406, 9082, 71
2026/08/08 08:17:15.427, 9082, 71
2026/08/08 08:17:16.449, 9082, 71
2026/08/08 08:17:17.469, 9082, 70
2026/08/08 08:17:18.491, 9082, 70
2026/08/08 08:17:19.511, 9082, 70
2026/08/08 08:17:20.530, 9082, 71
2026/08/08 08:17:21.551, 9082, 70
2026/08/08 08:17:22.571, 9082, 70
2026/08/08 08:17:23.591, 9082, 70
2026/08/08 08:17:24.612, 9082, 70
2026/08/08 08:17:25.633, 9082, 16
2026/08/08 08:17:26.654, 9082, 49
2026/08/08 08:17:27.672, 9082, 49
2026/08/08 08:17:28.691, 9082, 49
2026/08/08 08:17:29.710, 9082, 50
2026/08/08 08:17:30.729, 9082, 70
2026/08/08 08:17:31.752, 9082, 70
2026/08/08 08:17:32.771, 9082, 71
2026/08/08 08:17:33.790, 9082, 70
2026/08/08 08:17:34.809, 9082, 70
2026/08/08 08:17:35.832, 9082, 70
2026/08/08 08:17:36.854, 9082, 70
2026/08/08 08:17:37.874, 9082, 70
2026/08/08 08:17:38.894, 9082, 70
2026/08/08 08:17:39.913, 9082, 70
2026/08/08 08:17:40.935, 9082, 70
2026/08/08 08:17:41.957, 9082, 70
2026/08/08 08:17:42.977, 9082, 70
2026/08/08 08:17:43.997, 9082, 70
2026/08/08 08:17:45.019, 9082, 70
2026/08/08 08:17:46.037, 9082, 70
2026/08/08 08:17:47.057, 9082, 70
2026/08/08 08:17:48.077, 9082, 70
2026/08/08 08:17:49.097, 9082, 70
2026/08/08 08:17:50.121, 9082, 70
2026/08/08 08:17:51.146, 9082, 49
2026/08/08 08:17:52.166, 9082, 49
2026/08/08 08:17:53.185, 9082, 49
2026/08/08 08:17:54.206, 9082, 50
2026/08/08 08:17:55.224, 9082, 70
2026/08/08 08:17:56.243, 9082, 50
2026/08/08 08:17:57.269, 9082, 0
2026/08/08 08:17:58.301, 9082, 0
2026/08/08 08:17:59.336, 9082, 0
2026/08/08 08:18:00.377, 9082, 0
2026/08/08 08:18:01.413, 9082, 0
2026/08/08 08:18:02.445, 9082, 0
2026/08/08 08:18:03.476, 9082, 0
2026/08/08 08:18:04.512, 9082, 0
2026/08/08 08:18:05.545, 9082, 0
2026/08/08 08:18:06.577, 9082, 0
2026/08/08 08:18:07.605, 9082, 0
2026/08/08 08:18:08.638, 9082, 0
2026/08/08 08:18:09.665, 9082, 0
2026/08/08 08:18:10.705, 9082, 0
2026/08/08 08:18:11.746, 9082, 0
2026/08/08 08:18:12.784, 9082, 0
2026/08/08 08:18:13.816, 9082, 0
2026/08/08 08:18:14.842, 9082, 0
2026/08/08 08:18:15.871, 9082, 0
2026/08/08 08:18:16.900, 9082, 0
2026/08/08 08:18:17.939, 9082, 0
2026/08/08 08:18:18.972, 9082, 0
2026/08/08 08:18:20.005, 9082, 0
2026/08/08 08:18:21.036, 9082, 0
2026/08/08 08:18:22.082, 9082, 0
2026/08/08 08:18:23.111, 9082, 0
2026/08/08 08:18:24.140, 9082, 0
2026/08/08 08:18:25.178, 9082, 0
2026/08/08 08:18:26.216, 9082, 0
2026/08/08 08:18:27.247, 9082, 0
2026/08/08 08:18:28.277, 9082, 0
2026/08/08 08:18:29.315, 9082, 0
2026/08/08 08:18:30.344, 9082, 0
2026/08/08 08:18:31.374, 9082, 0
2026/08/08 08:18:32.404, 9082, 0
2026/08/08 08:18:33.439, 9082, 0
2026/08/08 08:18:34.475, 9082, 0
2026/08/08 08:18:35.505, 9082, 0
2026/08/08 08:18:36.541, 9082, 0
2026/08/08 08:18:37.575, 9082, 0
2026/08/08 08:18:38.609, 9082, 0
2026/08/08 08:18:39.638, 9082, 0
2026/08/08 08:18:40.677, 9082, 0
2026/08/08 08:18:41.716, 9082, 0
2026/08/08 08:18:42.751, 9082, 0
2026/08/08 08:18:43.788, 9082, 0
2026/08/08 08:18:44.816, 9082, 0
2026/08/08 08:18:45.843, 9082, 0
2026/08/08 08:18:46.871, 9082, 0
2026/08/08 08:18:47.898, 9082, 0
2026/08/08 08:18:48.928, 9082, 0
2026/08/08 08:18:49.956, 9082, 0
2026/08/08 08:18:50.989, 9082, 0
2026/08/08 08:18:52.026, 9082, 0
2026/08/08 08:18:53.070, 9082, 0
2026/08/08 08:18:54.107, 9082, 0
2026/08/08 08:18:55.141, 9082, 0
2026/08/08 08:18:56.173, 9082, 0
2026/08/08 08:18:57.206, 9082, 0
2026/08/08 08:18:58.235, 9082, 0
2026/08/08 08:18:59.263, 9082, 0
2026/08/08 08:19:00.299, 9082, 0
2026/08/08 08:19:01.335, 9082, 0
2026/08/08 08:19:02.368, 9082, 0
2026/08/08 08:19:03.397, 9082, 0
2026/08/08 08:19:04.438, 9082, 0
2026/08/08 08:19:05.477, 9082, 0
2026/08/08 08:19:06.506, 9082, 0
2026/08/08 08:19:07.537, 9082, 0
2026/08/08 08:19:08.567, 9082, 0
2026/08/08 08:19:09.599, 9082, 0
2026/08/08 08:19:10.632, 9082, 0
2026/08/08 08:19:11.664, 9082, 0
2026/08/08 08:19:12.693, 9082, 0
2026/08/08 08:19:13.728, 9082, 0
2026/08/08 08:19:14.765, 9082, 0
2026/08/08 08:19:15.792, 9082, 0
2026/08/08 08:19:16.828, 9082, 0
2026/08/08 08:19:17.866, 9082, 0
2026/08/08 08:19:18.900, 9082, 0
2026/08/08 08:19:19.929, 9082, 0
2026/08/08 08:19:20.957, 9082, 0
2026/08/08 08:19:21.985, 9082, 0
2026/08/08 08:19:23.013, 9082, 0
2026/08/08 08:19:24.047, 9082, 0
2026/08/08 08:19:25.082, 9082, 0
2026/08/08 08:19:26.112, 9082, 0
2026/08/08 08:19:27.144, 9082, 0
2026/08/08 08:19:28.181, 9082, 0
2026/08/08 08:19:29.214, 9082, 0
2026/08/08 08:19:30.245, 9082, 0
2026/08/08 08:19:31.280, 9082, 0
2026/08/08 08:19:32.313, 9082, 0
2026/08/08 08:19:33.349, 9082, 0
2026/08/08 08:19:34.380, 9082, 0
2026/08/08 08:19:35.406, 9082, 0
2026/08/08 08:19:36.446, 9082, 0
2026/08/08 08:19:37.480, 9082, 0
2026/08/08 08:19:38.511, 9082, 0
2026/08/08 08:19:39.543, 9082, 0
2026/08/08 08:19:40.583, 9082, 0
2026/08/08 08:19:41.623, 9082, 0
2026/08/08 08:19:42.665, 9082, 0
2026/08/08 08:19:43.702, 9082, 0
2026/08/08 08:19:44.732, 9082, 0
2026/08/08 08:19:45.761, 9082, 0
2026/08/08 08:19:46.790, 9082, 0
2026/08/08 08:19:47.828, 9082, 0
2026/08/08 08:19:48.859, 9082, 0
2026/08/08 08:19:49.891, 9082, 0
2026/08/08 08:19:50.928, 9082, 0
2026/08/08 08:19:51.955, 9082, 0
2026/08/08 08:19:52.997, 9082, 0
2026/08/08 08:19:54.029, 9082, 0
2026/08/08 08:19:55.060, 9082, 0
